departamento,total_primer_ciclo,total_segundo_ciclo,total_tercer_ciclo
Alto Paraguay,1508,1144,867
Alto Paraná,48095,40928,38645
Amambay,10403,8628,6657
Boqueron,5085,4377,2946
Caaguazú,27092,24548,24576
Caazapá,9032,9059,8758
Canindeyú,13071,12407,11123
Capital,26759,24560,25036
Central,97316,86524,82454
Concepción,14634,12792,11675
Cordillera,14420,12900,13345
Guairá,9889,8870,8793
Itapúa,27493,25989,23218
Misiones,5949,5591,5552
Paraguarí,10746,10177,10624
Presidente Hayes,7909,7060,5302
San Pedro,23891,22226,22198
Territorio Nacional,76,88,99
Ñeembucú,3454,3321,3280
