,localidad,total_matriculados
20,CIUDAD NUEVA (Ciudad del Este),6005
140,SAN PABLO (Asunción),5465
21,BOQUERON (Ciudad del Este),4800
160,SAN BLAS (Itá),4280
161,CUARTO BARRIO (Luque),4258
162,CENTRO (Ñemby),4164
163,POSTA YBYCUA (Capiatá),4095
220,CENTRO (Villarrica),3636
141,SAN ROQUE (Asunción),3556
40,OBRERO (Pedro Juan Caballero),3281
80,CENTRO (Caaguazú),3244
142,RECOLETA (Asunción),3159
164,SEGUNDO BARRIO (Luque),3006
180,CENTRO (Concepción),2988
300,REMANSITO SUB-URBANO (Villa Hayes),2968
165,ISLA BOGADO (Luque),2967
166,CAMPO GRANDE (Luque),2905
167,CENTRO SAN JOSE (Limpio),2884
168,PA'I ÑU (Ñemby),2854
22,DON BOSCO (Ciudad del Este),2809
