zona,institucion,departamento,distrito,total_matriculados
Rural,ESCUELA BÁSICA N° 4617 DIVINO NIÑO JESÚS,Itapúa,Cambyretá,971
Rural,ESCUELA BÁSICA N° 413 CARLOS ANTONIO LÓPEZ,Central,Areguá,895
Rural,ESCUELA BÁSICA N° 3587 MARISCAL JOSÉ FÉLIX ESTIGARRIBIA,Alto Paraná,Presidente Franco,893
Rural,ESCUELA BÁSICA N° 5925 DON JORGE GAYOSO,Presidente Hayes,Villa Hayes,860
Rural,ESCUELA BÁSICA N° 4381 MUNICIPAL N° 3,Presidente Hayes,Villa Hayes,802
Rural,ESCUELA BÁSICA N° 7309 JESÚS MISERICORDIOSO,Itapúa,Cambyretá,776
Rural,ESCUELA BÁSICA N° 606 ITAUGUÁ POTY,Central,Itauguá,774
Rural,ESCUELA BÁSICA N° 1514 SANTO DOMINGO DE GUZMÁN,Alto Paraná,Presidente Franco,766
Rural,ESCUELA BÁSICA N° 249 DON FRANCISCO RAMÓN CABRAL FERNÁNDEZ,Central,Itauguá,764
Rural,ESCUELA BÁSICA N° 4262 REASENTAMIENTO DE EXTRANCESALES DE YACYRETA,Itapúa,Encarnación,758
Urbana,CENTRO REGIONAL DE EDUCACIÓN DOCTOR JOSÉ GASPAR RODRÍGUEZ DE FRANCIA,Alto Paraná,Ciudad del Este,1882
Urbana,ESCUELA BÁSICA N° 4645 CENTRO EDUCATIVO LA ESPERANZA,Capital,Asunción,1625
Urbana,ESCUELA BÁSICA N° 5437 CENTRO EDUCATIVO MUNICIPAL,Alto Paraná,Ciudad del Este,1564
Urbana,ESCUELA BÁSICA N° 1513 JORGE RUBEN PEÑA,Alto Paraná,Presidente Franco,1401
Urbana,ESCUELA BÁSICA N° 1523 JUANA MARÍA DE LARA,Alto Paraná,Ciudad del Este,1385
Urbana,CENTRO REGIONAL DE EDUCACIÓN GENERAL PATRICIO ESCOBAR,Itapúa,Encarnación,1370
Urbana,ESCUELA BÁSICA N° 1743 CERRO CORÁ,Amambay,Pedro Juan Caballero,1361
Urbana,ESCUELA BÁSICA N° 23 ESPAÑA,Central,San Lorenzo,1351
Urbana,ESCUELA BÁSICA N° 26 GENERAL  JOSÉ ELIZARDO AQUINO,Central,Luque,1344
Urbana,ESCUELA BÁSICA N° 25 CARLOS ANTONIO LÓPEZ,Central,Ñemby,1322
